"synonym_name","synonym_concept_code","synonym_vocabulary_id"
"GCR-3888","58","HemOnc"
"BL22 immunotoxin","58","HemOnc"
"CAT 3888","58","HemOnc"
"GCR 3888","58","HemOnc"
"CAT3888","58","HemOnc"
"GCR3888","58","HemOnc"
"Bacille Calmette–Guerin","59","HemOnc"
"Bacillus Calmette-Guerin","59","HemOnc"
"BCG vaccine","59","HemOnc"
"Bacille Calmette-Guerin","59","HemOnc"
"AZD1152","60","HemOnc"
"Barasertib","60","HemOnc"
"AZD-1152","60","HemOnc"
"AZD 1152","60","HemOnc"
"PGN401","61","HemOnc"
"Bavituximab","61","HemOnc"
"PGN-401","61","HemOnc"
"PGN 401","61","HemOnc"
"Belagenpumatucel-L","62","HemOnc"
"PXD101","63","HemOnc"
"Belinostat","63","HemOnc"
"PXD-101","63","HemOnc"
"PXD 101","63","HemOnc"
"CKD-602","64","HemOnc"
"belotecan hydrochloride","64","HemOnc"
"Belotecan","64","HemOnc"
"CKD 602","64","HemOnc"
"CKD602","64","HemOnc"
"CEP-18083","65","HemOnc"
"SDX-105","65","HemOnc"
"cytostasan hydrochloride","65","HemOnc"
"SyB L-0501","65","HemOnc"
"bendamustin hydrochloride","65","HemOnc"
"bendamustine hydrochloride","65","HemOnc"
"Bendamustine","65","HemOnc"
"CEP 18083","65","HemOnc"
"SDX 105","65","HemOnc"
"CEP18083","65","HemOnc"
"SDX105","65","HemOnc"
"PRT-054021","66","HemOnc"
"Betrixaban","66","HemOnc"
"PRT 054021","66","HemOnc"
"PRT054021","66","HemOnc"
"ABP 215","67","HemOnc"
"Bevacizumab-awwb","67","HemOnc"
"ABP-215","67","HemOnc"
"ABP215","67","HemOnc"
"rhuMab-VEGF","68","HemOnc"
"Bevacizumab","68","HemOnc"
"LGD1069","69","HemOnc"
"Bexarotene","69","HemOnc"
"LGD-1069","69","HemOnc"
"LGD 1069","69","HemOnc"
"Bicalutamide","70","HemOnc"
"ARRY-162","71","HemOnc"
"MEK162","71","HemOnc"
"ARRY-438162","71","HemOnc"
"Binimetinib","71","HemOnc"
"MEK-162","71","HemOnc"
"ARRY 162","71","HemOnc"
"ARRY 438162","71","HemOnc"
"MEK 162","71","HemOnc"
"ARRY162","71","HemOnc"
"ARRY438162","71","HemOnc"
"Bivalirudin","72","HemOnc"
"Bleomycin","73","HemOnc"
"MT103","74","HemOnc"
"MEDI538","74","HemOnc"
"AMG 103","74","HemOnc"
"Blinatumomab","74","HemOnc"
"AMG-103","74","HemOnc"
"MEDI-538","74","HemOnc"
"MT-103","74","HemOnc"
"MEDI 538","74","HemOnc"
"MT 103","74","HemOnc"
"AMG103","74","HemOnc"
"LDP 341","75","HemOnc"
"PS-341","75","HemOnc"
"MLN341","75","HemOnc"
"Bortezomib","75","HemOnc"
"LDP-341","75","HemOnc"
"MLN-341","75","HemOnc"
"PS 341","75","HemOnc"
"MLN 341","75","HemOnc"
"PS341","75","HemOnc"
"LDP341","75","HemOnc"
"SKI-606","76","HemOnc"
"Bosutinib","76","HemOnc"
"SKI 606","76","HemOnc"
"SKI606","76","HemOnc"
"cAC10-vcMMAE","77","HemOnc"
"SGN-35","77","HemOnc"
"Brentuximab vedotin","77","HemOnc"
"SGN 35","77","HemOnc"
"SGN35","77","HemOnc"
"AP26113","78","HemOnc"
"Brigatinib","78","HemOnc"
"AP-26113","78","HemOnc"
"AP 26113","78","HemOnc"
"BKM120","79","HemOnc"
"Buparlisib","79","HemOnc"
"AN-2025","79","HemOnc"
"BKM-120","79","HemOnc"
"AN 2025","79","HemOnc"
"BKM 120","79","HemOnc"
"AN2025","79","HemOnc"
"Busulfan","80","HemOnc"
"busulphan","80","HemOnc"
"TXD258","81","HemOnc"
"XRP6258","81","HemOnc"
"RPR116258A","81","HemOnc"
"Cabazitaxel","81","HemOnc"
"RPR-116258A","81","HemOnc"
"TXD-258","81","HemOnc"
"XRP-6258","81","HemOnc"
"RPR 116258A","81","HemOnc"
